,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho,sp
0,-91,-77,1,14,0,0,0,0.0,1.8235294117647058,0
1,-91,-77,3,1206,0,0,0,0.0,7.449197860962567,0
2,-91,-77,5,4774,0,0,0,0.0,8.969949916527545,0
3,-91,-77,10,32303,0,1,0,0.00034223134839151266,12.055099247091034,0
4,-91,-77,15,80111,0,24,0,0.0034782608695652175,12.610289855072464,0
5,-91,-77,20,141699,0,208,0,0.017122160026341784,12.66438919986829,0
6,-91,-77,25,202958,0,857,0,0.04958342976162925,12.742536449895857,0
7,-91,-77,30,257043,0,1765,0,0.0806783379805275,12.74946290624857,0
8,-91,-77,35,293514,0,2258,0,0.09449280214261802,13.282976230331435,0
9,-91,-77,40,322791,0,2658,0,0.10483139420232696,13.730861762965885,0
10,-91,-77,45,361080,0,3053,0,0.11183969521576673,14.227342662466114,0
11,-91,-77,50,404449,0,3444,0,0.11704333050127443,14.745080713678844,0
12,-91,-77,55,450466,0,3819,0,0.12014345487148835,15.1713908201466,0
13,-91,-77,60,496980,0,4197,0,0.1225008026619188,15.505706196550014,0
14,-91,-77,70,501026,0,4248,0,0.12264695692343226,15.465469453747547,0
15,-91,-77,80,501026,0,4248,0,0.12264695692343226,15.465469453747547,0
16,-91,-77,90,501026,0,4248,0,0.12264695692343226,15.465469453747547,0
0,-91,-77,1,7,0,0,0,0.0,1.7777777777777777,-21
1,-91,-77,3,1170,0,0,0,0.0,8.222222222222221,-21
2,-91,-77,5,4605,0,0,0,0.0,9.237924865831843,-21
3,-91,-77,10,31819,0,0,0,0.0,12.059784497740702,-21
4,-91,-77,15,79582,0,30,0,0.0044286979627989375,12.748154709182167,-21
5,-91,-77,20,140853,0,251,0,0.021352615908124203,12.982390472139516,-21
6,-91,-77,25,201510,0,709,0,0.042726286609617935,13.143545859949379,-21
7,-91,-77,30,252190,0,1377,0,0.06653138135961734,13.184857708846693,-21
8,-91,-77,35,273887,0,1510,0,0.06889943420332177,13.497125387844497,-21
9,-91,-77,40,276698,0,1548,0,0.06967637394787775,13.454336769140749,-21
10,-91,-77,45,279811,0,1753,0,0.07738147788470028,13.351505252935464,-21
11,-91,-77,50,283536,0,1989,0,0.08541612986343726,13.17624323627931,-21
12,-91,-77,55,296987,0,2234,0,0.09204400313130896,13.236290222899758,-21
13,-91,-77,60,322407,0,2680,0,0.10470795077163508,13.596483688220356,-21
14,-91,-77,70,398837,0,3533,0,0.12122979789314758,14.685516247469375,-21
15,-91,-77,80,488894,0,4288,0,0.12743320752474072,15.529228208862076,-21
16,-91,-77,90,501190,0,4393,0,0.127436760269204,15.539046182408912,-21
0,-91,-77,1,8,0,0,0,0.0,2.142857142857143,21
1,-91,-77,3,42,0,0,0,0.0,3.210526315789474,21
2,-91,-77,5,176,0,0,0,0.0,6.333333333333333,21
3,-91,-77,10,472,0,0,0,0.0,9.280701754385966,21
4,-91,-77,15,568,0,0,0,0.0,7.528735632183908,21
5,-91,-77,20,911,0,0,0,0.0,3.777439024390244,21
6,-91,-77,25,3929,0,0,0,0.0,4.431441048034935,21
7,-91,-77,30,29275,0,17,0,0.004463113678130743,8.685744289839853,21
8,-91,-77,35,88224,0,235,0,0.027421236872812137,11.294515752625438,21
9,-91,-77,40,174292,0,846,0,0.05712356515867657,12.768534773801486,21
10,-91,-77,45,272548,0,1906,0,0.0907705495761501,13.979712353557481,21
11,-91,-77,50,367267,0,3125,0,0.11586518853583479,14.617107263356939,21
12,-91,-77,55,443094,0,3833,0,0.12403326537876581,15.338219590331036,21
13,-91,-77,60,490925,0,4132,0,0.1236533397175006,15.691315537467082,21
14,-91,-77,70,498047,0,4190,0,0.1228486820887208,15.602486293136307,21
15,-91,-77,80,500133,0,4204,0,0.12243352651658561,15.56542505169351,21
16,-91,-77,90,501227,0,4213,0,0.12234644983301873,15.555742703644547,21
0,-91,-77,1,6,0,0,0,0.0,1.6,-15
1,-91,-77,3,1167,0,0,0,0.0,8.072727272727272,-15
2,-91,-77,5,4595,0,0,0,0.0,9.075571177504393,-15
3,-91,-77,10,31813,0,4,0,0.001387443635102324,12.034686090877559,-15
4,-91,-77,15,79556,0,46,0,0.006764705882352941,12.699411764705882,-15
5,-91,-77,20,141060,0,305,0,0.02594199200476312,12.997958662924216,-15
6,-91,-77,25,201983,0,826,0,0.04995766299745978,13.216221120116124,-15
7,-91,-77,30,252370,0,1489,0,0.07202631451651913,13.20771054031829,-15
8,-91,-77,35,274440,0,1714,0,0.07792680154580586,13.477381223005228,-15
9,-91,-77,40,277640,0,1899,0,0.0846181267266732,13.371446395151947,-15
10,-91,-77,45,283778,0,2120,0,0.09137143349711231,13.230755969312991,-15
11,-91,-77,50,299793,0,2400,0,0.09876136784494466,13.336652812641455,-15
12,-91,-77,55,327830,0,2810,0,0.10923651065153164,13.744129995335095,-15
13,-91,-77,60,364573,0,3246,0,0.11808359707519371,14.2625050020008,-15
14,-91,-77,70,452398,0,4020,0,0.1265782927674045,15.244718032683648,-15
15,-91,-77,80,501198,0,4381,0,0.1271181522748375,15.542653203342619,-15
16,-91,-77,90,501198,0,4381,0,0.1271181522748375,15.542653203342619,-15
0,-91,-77,1,8,0,0,0,0.0,2.142857142857143,15
1,-91,-77,3,42,0,0,0,0.0,3.210526315789474,15
2,-91,-77,5,178,0,0,0,0.0,6.741935483870968,15
3,-91,-77,10,469,0,0,0,0.0,8.816666666666666,15
4,-91,-77,15,568,0,0,0,0.0,7.528735632183908,15
5,-91,-77,20,5499,0,0,0,0.0,7.082964601769912,15
6,-91,-77,25,33294,0,22,0,0.006017505470459519,10.106673960612692,15
7,-91,-77,30,84656,0,204,0,0.02478134110787172,11.28377065111759,15
8,-91,-77,35,160704,0,770,0,0.05454030315908769,12.382915427114321,15
9,-91,-77,40,248181,0,1779,0,0.0883975155279503,13.331975155279503,15
10,-91,-77,45,334695,0,3013,0,0.11758966553487102,14.062287788315185,15
11,-91,-77,50,398491,0,3565,0,0.12422035610996898,14.885187637199902,15
12,-91,-77,55,445747,0,3895,0,0.12524921216798507,15.333622741012285,15
13,-91,-77,60,493872,0,4221,0,0.1253080005937361,15.661481371530355,15
14,-91,-77,70,499463,0,4277,0,0.12471205715118822,15.563726490742091,15
15,-91,-77,80,501176,0,4291,0,0.12442730383343965,15.532737922635272,15
16,-91,-77,90,501176,0,4291,0,0.12442730383343965,15.532737922635272,15
0,-91,-77,1,5,0,0,0,0.0,1.4545454545454546,-7
1,-91,-77,3,1164,0,0,0,0.0,7.928571428571429,-7
2,-91,-77,5,4601,0,0,0,0.0,9.172291296625222,-7
3,-91,-77,10,31846,0,1,0,0.00034352456200618345,11.939883201648918,-7
4,-91,-77,15,79961,0,58,0,0.008469626168224298,12.676547897196262,-7
5,-91,-77,20,141373,0,292,0,0.024697623276664128,12.957455806478897,-7
6,-91,-77,25,202252,0,853,0,0.051151355241065004,13.128328136243704,-7
7,-91,-77,30,253201,0,1680,0,0.08003430041446334,13.062360059072937,-7
8,-91,-77,35,276441,0,2017,0,0.08948138946808039,13.263919080786122,-7
9,-91,-77,40,288741,0,2285,0,0.09734173979722247,13.300460083496635,-7
10,-91,-77,45,313413,0,2659,0,0.10703647049351904,13.616254729892923,-7
11,-91,-77,50,347195,0,3065,0,0.11549911444398388,14.083430681689716,-7
12,-91,-77,55,388534,0,3459,0,0.12121955493253898,14.616050464342036,-7
13,-91,-77,60,433430,0,3830,0,0.12423367608420643,15.059165071847936,-7
14,-91,-77,70,501197,0,4341,0,0.12595386624111418,15.542202234150588,-7
15,-91,-77,80,501197,0,4341,0,0.12595386624111418,15.542202234150588,-7
16,-91,-77,90,501197,0,4341,0,0.12595386624111418,15.542202234150588,-7
0,-91,-77,1,0,0,0,0,,,7
1,-91,-77,3,0,0,0,0,,,7
2,-91,-77,5,0,0,0,0,,,7
3,-91,-77,10,1204,0,0,0,0.0,7.37037037037037,7
4,-91,-77,15,18016,0,0,0,0.0,11.348075818495118,7
5,-91,-77,20,58699,0,5,0,0.0009665571235260004,12.347187318770539,7
6,-91,-77,25,116201,0,59,0,0.005851433105226619,12.524447089159972,7
7,-91,-77,30,179126,0,373,0,0.024104950239110766,12.575933824479772,7
8,-91,-77,35,234939,0,1100,0,0.05366115420264403,12.460998097468169,7
9,-91,-77,40,285237,0,1701,0,0.07099924868519909,12.905709992486852,7
10,-91,-77,45,309121,0,2052,0,0.08121586321538826,13.234663183725164,7
11,-91,-77,50,344287,0,2458,0,0.09095282146160961,13.739574468085106,7
12,-91,-77,55,386118,0,2845,0,0.09772938064649102,14.263646044450551,7
13,-91,-77,60,431411,0,3197,0,0.10172457681048747,14.726963217513045,7
14,-91,-77,70,500403,0,3705,0,0.1050795541563856,15.192206245213988,7
15,-91,-77,80,500403,0,3705,0,0.1050795541563856,15.192206245213988,7
16,-91,-77,90,500403,0,3705,0,0.1050795541563856,15.192206245213988,7
